id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q583993,Michael Meacher,1989-11-02,1992-07-18,,Q333158,,
Q333158,Donald Dewar,1992-07-18,1995-10-19,Q583993,Q333264,,
Q333264,"Chris Smith, Baron Smith of Finsbury",1995-10-19,1996-07-01,Q333158,Q234182,,
Q234182,Harriet Harman,1996-07-01,1997-05-02,Q333264,Q19831,,
Q19831,Peter Lilley,1997-05-02,1997-06-19,Q234182,Q302486,,
Q302486,Iain Duncan Smith,1997-06-19,1999-06-15,Q19831,Q266064,,
Q266064,David Willetts,1999-06-15,2001-09-14,Q302486,Q266064,,
Q266064,David Willetts,2001-09-14,2005-05-06,Q266064,Q333487,,
Q333487,Malcolm Rifkind,2005-05-06,2005-12-06,Q266064,Q332987,,
Q332987,Philip Hammond,2005-12-06,2007-07-02,Q333487,Q337453,,
Q337453,Chris Grayling,2007-07-02,2009-01-19,Q332987,Q264766,,
Q264766,Theresa May,2009-01-19,2010-05-11,Q337453,Q291057,,
Q291057,Yvette Cooper,2010-05-11,2010-10-08,Q264766,Q259106,,
Q259106,Douglas Alexander,2010-10-08,2011-01-20,Q291057,Q269697,,
Q269697,Liam Byrne,2011-01-20,2013-10-07,Q259106,Q574896,,
Q574896,Rachel Reeves,2013-10-07,2015-06-08,Q269697,Q272346,,
Q272346,Stephen Timms,2015-06-08,2015-09-13,Q574896,Q390690,,
Q390690,Owen Smith,2015-09-14,2016-06-27,Q272346,Q258088,,
Q258088,Debbie Abrahams,2016-06-27,2018-03-11,Q390690,Q19957949,,
Q19957949,Margaret Greenwood,2018-03-11,2020-04-06,Q258088,Q501926,,
Q501926,Jonathan Reynolds,2020-04-06,,Q19957949,,,
